id,symbol,interval,ema_fast,ema_slow,atr_period,sl_atr_mult,tp_atr_mult,risk_pct,fees_bps,trades,wins,win_rate,equity_start,equity_end,pnl_total,return_pct,max_drawdown_pct,score
25,SOLUSDC,15m,20,55,14,1.25,3.5,0.0025,10.0,65,20,30.76923076923077,10000.0,10204.996220118674,204.9962201186736,2.049962201186739,2.0284369798683555,1.0357437112525614
26,SOLUSDC,15m,20,55,14,1.25,3.5,0.005,10.0,65,20,30.76923076923077,10000.0,10401.680536796695,401.6805367966954,4.016805367966958,4.020809243660199,2.0064007461368583
27,SOLUSDC,15m,20,55,14,1.25,3.5,0.0075,10.0,65,20,30.76923076923077,10000.0,10589.525252801568,589.5252528015681,5.895252528015682,5.97766747025006,2.906418792890652
28,SOLUSDC,15m,20,55,14,1.25,4.0,0.0025,10.0,60,18,30.0,10000.0,10246.036521937995,246.03652193799462,2.4603652193799563,1.764478128644879,1.5781261550575167
29,SOLUSDC,15m,20,55,14,1.25,4.0,0.005,10.0,60,18,30.0,10000.0,10484.577554935113,484.57755493511286,4.845775549351128,3.518012078924451,3.086769509888902
30,SOLUSDC,15m,20,55,14,1.25,4.0,0.0075,10.0,60,18,30.0,10000.0,10714.97365847865,714.9736584786497,7.1497365847865035,5.259934186449072,4.519769491561968
31,SOLUSDC,15m,20,55,14,1.5,2.0,0.0025,10.0,79,35,44.303797468354425,10000.0,9980.111503656984,-19.888496343015504,-0.19888496343015705,1.6422286043249732,-1.0199992655926438
32,SOLUSDC,15m,20,55,14,1.5,2.0,0.005,10.0,79,35,44.303797468354425,10000.0,9953.965302058086,-46.03469794191369,-0.46034697941913505,3.27371223330254,-2.0972030960704053
33,SOLUSDC,15m,20,55,14,1.5,2.0,0.0075,10.0,79,35,44.303797468354425,10000.0,9921.616729533434,-78.38327046656559,-0.7838327046656546,4.894097304634943,-3.2308813569831263
34,SOLUSDC,15m,20,55,14,1.5,2.5,0.0025,10.0,64,26,40.625,10000.0,10078.581889092477,78.58188909247656,0.7858188909247721,1.6025222262118741,-0.015442222181164977
