vol_min,trend_max,months,rows,BB_PERIOD,BB_K,equity_multiple,max_drawdown_pct,trades,win_rate_pct,avg_trade_ret_pct,buyhold_gated_multiple
0.01,0.15,1,2880,12,2.0,1.12894,14.76,74,56.76,0.1949,1.0888296078251003
0.01,0.2,1,2880,12,2.0,1.12894,14.76,74,56.76,0.1949,1.0888296078251003
0.012,0.25,1,2976,12,2.0,1.122505,30.72,72,63.89,0.2438,0.7727337077061017
0.012,0.3,1,2976,12,2.0,1.122505,30.72,72,63.89,0.2438,0.7727337077061017
0.008,0.15,1,2880,16,2.4,1.109661,8.21,38,68.42,0.3075,1.0888296078251003
0.008,0.2,1,2880,16,2.4,1.109661,8.21,38,68.42,0.3075,1.0888296078251003
0.01,0.15,1,2880,16,2.4,1.109661,8.21,38,68.42,0.3075,1.0888296078251003
0.01,0.2,1,2880,16,2.4,1.109661,8.21,38,68.42,0.3075,1.0888296078251003
0.012,0.25,1,2976,16,2.4,1.103555,20.18,39,66.67,0.3249,0.7727337077061017
0.012,0.3,1,2976,16,2.4,1.103555,20.18,39,66.67,0.3249,0.7727337077061017
0.012,0.25,1,2976,20,3.0,1.100916,0.0,4,100.0,2.4336,0.7727337077061017
0.012,0.3,1,2976,20,3.0,1.100916,0.0,4,100.0,2.4336,0.7727337077061017
0.008,0.15,1,2880,20,3.0,1.098581,6.42,14,85.71,0.7137,1.0888296078251003
0.008,0.2,1,2880,20,3.0,1.098581,6.42,14,85.71,0.7137,1.0888296078251003
0.01,0.15,1,2880,20,3.0,1.098581,6.42,14,85.71,0.7137,1.0888296078251003
0.01,0.2,1,2880,20,3.0,1.098581,6.42,14,85.71,0.7137,1.0888296078251003
0.012,0.25,1,2976,12,2.4,1.068708,10.25,35,62.86,0.2366,0.7727337077061017
0.012,0.3,1,2976,12,2.4,1.068708,10.25,35,62.86,0.2366,0.7727337077061017
0.012,0.25,1,2976,16,2.2,1.017026,29.67,54,59.26,0.1479,0.7727337077061017
0.012,0.3,1,2976,16,2.2,1.017026,29.67,54,59.26,0.1479,0.7727337077061017
0.012,0.25,1,2976,20,2.0,1.00774,29.44,58,56.9,0.1139,0.7727337077061017
0.012,0.3,1,2976,20,2.0,1.00774,29.44,58,56.9,0.1139,0.7727337077061017
0.008,0.15,1,2880,16,2.6,1.002571,15.58,32,62.5,0.0437,1.0888296078251003
0.008,0.2,1,2880,16,2.6,1.002571,15.58,32,62.5,0.0437,1.0888296078251003
0.01,0.15,1,2880,16,2.6,1.002571,15.58,32,62.5,0.0437,1.0888296078251003
0.01,0.2,1,2880,16,2.6,1.002571,15.58,32,62.5,0.0437,1.0888296078251003
0.012,0.25,1,2976,12,3.0,1.0,0.0,0,0.0,0.0,0.7727337077061017
0.012,0.3,1,2976,12,3.0,1.0,0.0,0,0.0,0.0,0.7727337077061017
0.008,0.15,1,2880,12,2.2,0.982787,21.36,53,54.72,-0.0023,1.0888296078251003
0.008,0.2,1,2880,12,2.2,0.982787,21.36,53,54.72,-0.0023,1.0888296078251003
0.01,0.15,1,2880,12,2.2,0.982787,21.36,53,54.72,-0.0023,1.0888296078251003
0.01,0.2,1,2880,12,2.2,0.982787,21.36,53,54.72,-0.0023,1.0888296078251003
0.012,0.25,1,2976,16,2.0,0.950394,30.89,65,61.54,0.0075,0.7727337077061017
0.012,0.3,1,2976,16,2.0,0.950394,30.89,65,61.54,0.0075,0.7727337077061017
0.008,0.15,1,2880,16,3.0,0.939861,10.01,5,40.0,-1.1662,1.0888296078251003
0.008,0.2,1,2880,16,3.0,0.939861,10.01,5,40.0,-1.1662,1.0888296078251003
0.01,0.15,1,2880,16,3.0,0.939861,10.01,5,40.0,-1.1662,1.0888296078251003
0.01,0.2,1,2880,16,3.0,0.939861,10.01,5,40.0,-1.1662,1.0888296078251003
0.012,0.25,1,2976,12,2.2,0.921784,31.34,54,61.11,-0.0829,0.7727337077061017
0.012,0.3,1,2976,12,2.2,0.921784,31.34,54,61.11,-0.0829,0.7727337077061017
0.008,0.15,1,2880,12,2.4,0.920779,20.98,34,55.88,-0.2053,1.0888296078251003
0.008,0.2,1,2880,12,2.4,0.920779,20.98,34,55.88,-0.2053,1.0888296078251003
0.01,0.15,1,2880,12,2.4,0.920779,20.98,34,55.88,-0.2053,1.0888296078251003
0.01,0.2,1,2880,12,2.4,0.920779,20.98,34,55.88,-0.2053,1.0888296078251003
0.008,0.15,1,2880,12,3.0,0.911559,10.44,2,50.0,-4.3289,1.0888296078251003
0.008,0.2,1,2880,12,3.0,0.911559,10.44,2,50.0,-4.3289,1.0888296078251003
0.01,0.15,1,2880,12,3.0,0.911559,10.44,2,50.0,-4.3289,1.0888296078251003
0.01,0.2,1,2880,12,3.0,0.911559,10.44,2,50.0,-4.3289,1.0888296078251003
0.008,0.15,1,2880,12,2.6,0.847797,19.14,16,43.75,-0.9761,1.0888296078251003
0.008,0.2,1,2880,12,2.6,0.847797,19.14,16,43.75,-0.9761,1.0888296078251003
0.01,0.15,1,2880,12,2.6,0.847797,19.14,16,43.75,-0.9761,1.0888296078251003
0.01,0.2,1,2880,12,2.6,0.847797,19.14,16,43.75,-0.9761,1.0888296078251003
