entry_mode,vol_buy_x,ema_fast,ema_slow,base_k,ratio_max,atr_mult,tp_mult,cooldown,trades,wins,losses,win_rate_pct,equity_multiple
either,0.9,20,200,1.8,1.6,2.0,2.0,2,10,2,8,20.0,0.90129
either,0.9,20,200,1.8,1.6,2.0,3.0,1,11,3,8,27.273,0.905993
either,0.9,20,200,1.8,1.6,2.0,3.0,2,10,2,8,20.0,0.90129
either,0.9,50,100,1.6,1.4,1.5,2.0,1,18,6,12,33.333,0.903762
either,0.9,50,100,1.6,1.4,1.5,2.0,2,17,6,11,35.294,0.902223
either,0.9,50,100,1.6,1.4,1.5,3.0,1,18,6,12,33.333,0.916433
either,0.9,50,100,1.6,1.4,1.5,3.0,2,17,6,11,35.294,0.905432
either,0.9,50,100,1.6,1.4,2.0,2.0,1,17,7,10,41.176,0.914846
either,0.9,50,100,1.6,1.4,2.0,2.0,2,15,6,9,40.0,0.903416
either,0.9,50,100,1.6,1.4,2.0,3.0,1,17,7,10,41.176,0.927672
either,0.9,50,100,1.6,1.4,2.0,3.0,2,15,6,9,40.0,0.906629
either,0.9,50,100,1.6,1.6,1.5,2.0,1,18,6,12,33.333,0.903762
either,0.9,50,100,1.6,1.6,1.5,2.0,2,16,6,10,37.5,0.925187
either,0.9,50,100,1.6,1.6,1.5,3.0,1,18,6,12,33.333,0.916433
either,0.9,50,100,1.6,1.6,1.5,3.0,2,16,6,10,37.5,0.928478
either,0.9,50,100,1.6,1.6,2.0,2.0,1,17,7,10,41.176,0.914846
either,0.9,50,100,1.6,1.6,2.0,2.0,2,14,6,8,42.857,0.924481
either,0.9,50,100,1.6,1.6,2.0,3.0,1,17,7,10,41.176,0.927672
either,0.9,50,100,1.6,1.6,2.0,3.0,2,14,6,8,42.857,0.92777
either,0.9,50,100,1.8,1.4,1.5,2.0,1,18,6,12,33.333,0.909115
either,0.9,50,100,1.8,1.4,1.5,2.0,2,16,6,10,37.5,0.932632
either,0.9,50,100,1.8,1.4,1.5,3.0,1,17,6,11,35.294,0.911189
either,0.9,50,100,1.8,1.4,1.5,3.0,2,15,6,9,40.0,0.934759
either,0.9,50,100,1.8,1.4,2.0,2.0,1,17,7,10,41.176,0.920265
either,0.9,50,100,1.8,1.4,2.0,2.0,2,14,6,8,42.857,0.931921
either,0.9,50,100,1.8,1.4,2.0,3.0,1,16,7,9,43.75,0.92455
either,0.9,50,100,1.8,1.4,2.0,3.0,2,14,6,8,42.857,0.935236
either,0.9,50,100,1.8,1.6,1.5,2.0,1,18,6,12,33.333,0.915631
either,0.9,50,100,1.8,1.6,1.5,2.0,2,16,6,10,37.5,0.939316
either,0.9,50,100,1.8,1.6,1.5,3.0,1,17,6,11,35.294,0.903372
either,0.9,50,100,1.8,1.6,1.5,3.0,2,15,6,9,40.0,0.92674
either,0.9,50,100,1.8,1.6,2.0,2.0,1,17,7,10,41.176,0.92686
either,0.9,50,100,1.8,1.6,2.0,2.0,2,14,6,8,42.857,0.9386
