months,rows,vol_min,trend_max,BB_PERIOD,BB_K,equity_multiple,max_drawdown_pct,trades,win_rate_pct,avg_trade_ret_pct,buyhold_gated_multiple
1,2880,0.012,0.25,16,2.0,1.305863,13.96,67,61.19,0.4312,1.0888296078251003
1,2880,0.012,0.3,16,2.0,1.305863,13.96,67,61.19,0.4312,1.0888296078251003
1,2880,0.012,0.25,20,2.6,1.305805,8.16,30,83.33,0.9266,1.0888296078251003
1,2880,0.012,0.3,20,2.6,1.305805,8.16,30,83.33,0.9266,1.0888296078251003
1,2880,0.012,0.25,16,2.2,1.210149,7.93,52,69.23,0.3941,1.0888296078251003
1,2880,0.012,0.3,16,2.2,1.210149,7.93,52,69.23,0.3941,1.0888296078251003
1,2880,0.012,0.25,12,2.0,1.12894,14.76,74,56.76,0.1949,1.0888296078251003
1,2880,0.012,0.3,12,2.0,1.12894,14.76,74,56.76,0.1949,1.0888296078251003
1,2880,0.012,0.25,16,2.4,1.109661,8.21,38,68.42,0.3075,1.0888296078251003
1,2880,0.012,0.3,16,2.4,1.109661,8.21,38,68.42,0.3075,1.0888296078251003
1,2880,0.012,0.25,20,3.0,1.098581,6.42,14,85.71,0.7137,1.0888296078251003
1,2880,0.012,0.3,20,3.0,1.098581,6.42,14,85.71,0.7137,1.0888296078251003
1,2976,0.008,0.15,20,3.0,1.080419,2.06,19,57.89,0.4149,1.0433893684688778
1,2976,0.008,0.2,20,3.0,1.080419,2.06,19,57.89,0.4149,1.0433893684688778
1,2976,0.01,0.15,20,3.0,1.080419,2.06,19,57.89,0.4149,1.0433893684688778
1,2976,0.01,0.2,20,3.0,1.080419,2.06,19,57.89,0.4149,1.0433893684688778
1,2976,0.008,0.15,20,2.6,1.008059,13.52,32,56.25,0.0433,1.0433893684688778
1,2976,0.008,0.2,20,2.6,1.008059,13.52,32,56.25,0.0433,1.0433893684688778
1,2976,0.01,0.15,20,2.6,1.008059,13.52,32,56.25,0.0433,1.0433893684688778
1,2976,0.01,0.2,20,2.6,1.008059,13.52,32,56.25,0.0433,1.0433893684688778
1,2880,0.012,0.25,16,2.6,1.002571,15.58,32,62.5,0.0437,1.0888296078251003
1,2880,0.012,0.3,16,2.6,1.002571,15.58,32,62.5,0.0437,1.0888296078251003
1,2976,0.008,0.15,20,2.0,0.994541,21.29,54,61.11,0.0044,1.0433893684688778
1,2976,0.008,0.2,20,2.0,0.994541,21.29,54,61.11,0.0044,1.0433893684688778
1,2976,0.01,0.15,20,2.0,0.994541,21.29,54,61.11,0.0044,1.0433893684688778
1,2976,0.01,0.2,20,2.0,0.994541,21.29,54,61.11,0.0044,1.0433893684688778
1,2880,0.012,0.25,12,2.2,0.982787,21.36,53,54.72,-0.0023,1.0888296078251003
1,2880,0.012,0.3,12,2.2,0.982787,21.36,53,54.72,-0.0023,1.0888296078251003
1,2976,0.008,0.15,20,2.2,0.978731,17.03,42,57.14,-0.0374,1.0433893684688778
1,2976,0.008,0.2,20,2.2,0.978731,17.03,42,57.14,-0.0374,1.0433893684688778
1,2976,0.01,0.15,20,2.2,0.978731,17.03,42,57.14,-0.0374,1.0433893684688778
1,2976,0.01,0.2,20,2.2,0.978731,17.03,42,57.14,-0.0374,1.0433893684688778
1,2976,0.008,0.15,16,2.0,0.973896,19.17,64,51.56,-0.0313,1.0433893684688778
1,2976,0.008,0.2,16,2.0,0.973896,19.17,64,51.56,-0.0313,1.0433893684688778
1,2976,0.01,0.15,16,2.0,0.973896,19.17,64,51.56,-0.0313,1.0433893684688778
1,2976,0.01,0.2,16,2.0,0.973896,19.17,64,51.56,-0.0313,1.0433893684688778
1,2976,0.008,0.15,20,2.4,0.966018,16.97,35,54.29,-0.0817,1.0433893684688778
1,2976,0.008,0.2,20,2.4,0.966018,16.97,35,54.29,-0.0817,1.0433893684688778
1,2976,0.01,0.15,20,2.4,0.966018,16.97,35,54.29,-0.0817,1.0433893684688778
1,2976,0.01,0.2,20,2.4,0.966018,16.97,35,54.29,-0.0817,1.0433893684688778
1,2976,0.008,0.15,12,3.0,0.961954,4.56,3,33.33,-1.2664,1.0433893684688778
1,2976,0.008,0.2,12,3.0,0.961954,4.56,3,33.33,-1.2664,1.0433893684688778
1,2976,0.01,0.15,12,3.0,0.961954,4.56,3,33.33,-1.2664,1.0433893684688778
1,2976,0.01,0.2,12,3.0,0.961954,4.56,3,33.33,-1.2664,1.0433893684688778
1,2976,0.008,0.15,12,2.6,0.952381,10.43,27,44.44,-0.1712,1.0433893684688778
1,2976,0.008,0.2,12,2.6,0.952381,10.43,27,44.44,-0.1712,1.0433893684688778
1,2976,0.01,0.15,12,2.6,0.952381,10.43,27,44.44,-0.1712,1.0433893684688778
1,2976,0.01,0.2,12,2.6,0.952381,10.43,27,44.44,-0.1712,1.0433893684688778
1,2880,0.012,0.25,16,3.0,0.939861,10.01,5,40.0,-1.1662,1.0888296078251003
1,2880,0.012,0.3,16,3.0,0.939861,10.01,5,40.0,-1.1662,1.0888296078251003
1,2976,0.008,0.15,12,2.4,0.933023,12.38,38,44.74,-0.1737,1.0433893684688778
