BB_COOLDOWN_BARS,BB_K,BB_PERIOD,EMA_TREND_N,REQUIRE_TREND,RSI_BUY_MAX,RSI_SELL_MIN,VOL_MA_N,VOL_MULT,avg_trade_ret_pct,entry_func,equity_multiple,losses,max_drawdown_pct,trades,win_rate_pct,wins
2,2.0,20,200,1,60,60,20,1.0,-0.4474,run_backtest,0.048563,331,95.18,631,47.54,300
2,2.0,20,200,1,55,65,20,1.0,-0.4543,run_backtest,0.048414,336,95.2,621,45.89,285
0,2.2,14,200,1,60,60,20,1.0,-0.4525,run_backtest,0.047908,328,95.57,627,47.69,299
2,2.0,20,200,1,60,65,20,1.0,-0.4516,run_backtest,0.047251,340,95.31,630,46.03,290
2,2.0,12,100,1,60,60,20,1.0,-0.5463,run_backtest,0.046701,285,95.59,535,46.73,250
2,2.0,12,100,1,55,60,20,1.0,-0.5702,run_backtest,0.046644,277,95.59,513,46.0,236
2,2.2,20,200,1,55,60,20,0.75,-0.4207,run_backtest,0.046492,359,96.19,674,46.74,315
0,2.0,20,100,1,55,65,20,0.75,-0.4879,run_backtest,0.046299,332,95.94,594,44.11,262
0,2.2,12,100,1,55,65,20,0.75,-0.5279,run_backtest,0.046259,311,95.63,553,43.76,242
2,2.2,20,200,1,60,60,20,0.75,-0.4186,run_backtest,0.046169,360,96.22,679,46.98,319
0,2.2,12,100,1,60,60,20,0.75,-0.5092,run_backtest,0.046118,305,95.64,575,46.96,270
2,2.2,14,200,1,55,60,20,1.0,-0.5096,run_backtest,0.046016,303,95.74,568,46.65,265
0,2.2,14,200,1,55,60,20,1.0,-0.4719,run_backtest,0.045116,325,95.83,614,47.07,289
2,2.2,14,200,1,60,65,20,1.0,-0.5033,run_backtest,0.045075,314,95.93,578,45.67,264
0,2.2,12,200,1,60,60,20,1.0,-0.4641,run_backtest,0.045016,329,95.72,625,47.36,296
0,2.2,12,200,1,55,60,20,1.0,-0.4766,run_backtest,0.044541,324,95.76,611,46.97,287
2,2.0,14,100,1,55,65,20,1.0,-0.64,run_backtest,0.044341,265,95.85,464,42.89,199
0,2.2,14,200,1,60,65,20,1.0,-0.4662,run_backtest,0.04431,336,96.0,624,46.15,288
0,2.0,20,100,1,60,65,20,0.75,-0.4881,run_backtest,0.044,337,96.14,604,44.21,267
0,2.2,12,100,1,60,65,20,0.75,-0.5167,run_backtest,0.043978,320,95.84,574,44.25,254
2,2.0,14,100,1,60,65,20,1.0,-0.6126,run_backtest,0.043602,276,95.92,487,43.33,211
2,2.2,14,200,1,55,65,20,1.0,-0.5255,run_backtest,0.042548,311,96.15,565,44.96,254
0,2.2,14,200,1,55,65,20,1.0,-0.4859,run_backtest,0.041826,333,96.22,611,45.5,278
0,2.0,14,100,1,55,65,20,1.0,-0.6214,run_backtest,0.041102,277,96.15,489,43.35,212
0,2.2,12,200,1,60,65,20,1.0,-0.482,run_backtest,0.040444,336,96.22,623,46.07,287
0,2.0,14,100,1,60,65,20,1.0,-0.5962,run_backtest,0.040417,288,96.22,512,43.75,224
0,2.2,20,200,1,55,60,20,0.75,-0.3886,run_backtest,0.040371,400,96.63,759,47.3,359
0,2.2,12,200,1,55,65,20,1.0,-0.4948,run_backtest,0.040111,331,96.25,609,45.65,278
0,2.2,20,200,1,60,60,20,0.75,-0.3869,run_backtest,0.04009,401,96.65,764,47.51,363
2,2.2,14,100,1,60,60,20,0.75,-0.5789,run_backtest,0.039903,290,96.23,532,45.49,242
2,2.2,14,100,1,55,60,20,0.75,-0.5978,run_backtest,0.039761,284,96.24,516,44.96,232
2,2.2,14,100,1,60,65,20,0.75,-0.5823,run_backtest,0.039329,304,96.29,530,42.64,226
2,2.2,14,100,1,55,65,20,0.75,-0.6019,run_backtest,0.039125,298,96.39,514,42.02,216
0,2.0,12,100,1,55,60,20,1.0,-0.582,run_backtest,0.039064,289,96.31,532,45.68,243
2,2.2,20,200,1,60,65,20,0.75,-0.4489,run_backtest,0.038943,369,96.89,670,44.93,301
2,2.2,20,200,1,55,65,20,0.75,-0.4526,run_backtest,0.038877,368,96.89,665,44.66,297
0,2.0,12,100,1,60,60,20,1.0,-0.5621,run_backtest,0.038095,298,96.4,555,46.31,257
2,2.0,12,100,1,60,65,20,1.0,-0.5919,run_backtest,0.037042,294,96.5,532,44.74,238
2,2.0,12,100,1,55,65,20,1.0,-0.6203,run_backtest,0.036627,286,96.54,510,43.92,224
0,2.0,20,200,1,55,60,20,1.0,-0.4521,run_backtest,0.03658,360,96.37,683,47.29,323
2,1.8,20,100,1,55,65,20,0.75,-0.4515,run_backtest,0.036272,391,97.11,690,43.33,299
2,1.8,20,100,1,55,60,20,0.75,-0.4503,run_backtest,0.036148,376,97.16,695,45.9,319
0,2.0,20,200,1,55,65,20,1.0,-0.4555,run_backtest,0.035685,369,96.46,682,45.89,313
0,2.2,14,100,1,60,60,20,0.75,-0.5691,run_backtest,0.035624,305,96.63,560,45.54,255
0,2.0,20,200,1,60,60,20,1.0,-0.45,run_backtest,0.035616,363,96.47,692,47.54,329
0,2.2,14,100,1,55,60,20,0.75,-0.5894,run_backtest,0.035174,299,96.68,543,44.94,244
0,2.0,20,200,1,60,65,20,1.0,-0.453,run_backtest,0.034827,373,96.54,691,46.02,318
0,2.2,14,100,1,60,65,20,0.75,-0.5779,run_backtest,0.033999,320,96.8,558,42.65,238
0,2.2,14,100,1,55,65,20,0.75,-0.5992,run_backtest,0.033514,314,96.84,541,41.96,227
0,2.2,20,200,1,60,65,20,0.75,-0.4147,run_backtest,0.033308,412,97.3,756,45.5,344
0,2.2,20,200,1,55,65,20,0.75,-0.4178,run_backtest,0.033251,411,97.3,751,45.27,340
2,2.0,14,200,1,60,60,20,1.0,-0.4423,run_backtest,0.032756,378,96.92,725,47.86,347
2,2.0,14,200,1,55,60,20,1.0,-0.4571,run_backtest,0.03228,370,96.96,705,47.52,335
2,1.8,20,100,1,60,60,20,0.75,-0.4618,run_backtest,0.030456,388,97.53,714,45.66,326
0,2.0,12,100,1,55,65,20,1.0,-0.6326,run_backtest,0.030108,299,97.15,530,43.58,231
0,2.0,12,100,1,60,65,20,1.0,-0.6084,run_backtest,0.029657,308,97.2,553,44.3,245
2,1.8,20,100,1,60,65,20,0.75,-0.4695,run_backtest,0.029188,405,97.6,709,42.88,304
0,1.8,20,100,1,55,65,20,0.75,-0.4555,run_backtest,0.027668,418,97.68,741,43.59,323
0,1.8,20,100,1,55,60,20,0.75,-0.4553,run_backtest,0.027654,402,97.72,744,45.97,342
2,2.0,14,200,1,55,65,20,1.0,-0.4837,run_backtest,0.027381,378,97.44,700,46.0,322
2,2.0,14,200,1,60,65,20,1.0,-0.4709,run_backtest,0.027171,387,97.46,720,46.25,333
2,2.0,12,200,1,60,60,20,1.0,-0.4543,run_backtest,0.025186,405,97.57,764,46.99,359
2,2.0,12,200,1,55,60,20,1.0,-0.4677,run_backtest,0.024874,399,97.6,745,46.44,346
0,1.8,20,100,1,60,60,20,0.75,-0.46,run_backtest,0.024035,414,97.96,766,45.95,352
2,1.8,14,100,1,55,60,20,1.0,-0.6294,run_backtest,0.023217,329,97.82,570,42.28,241
0,1.8,20,100,1,60,65,20,0.75,-0.4654,run_backtest,0.023094,432,97.95,763,43.38,331
